company,title,job_title,job_summary,city,state,state1,region
Sherwin-Williams,Data Analyst,Junior IT Business Analyst,"Founded in 1866, The Sherwin-Williams Company is a global leader in the manufacture, development, distribution, and sale of paints, coatings and related…",Cleveland,OH, Ohio,Midwest
Centric Consulting,Data Analyst,Data Analyst- Power BI,Do you have a unique passion for Data Analysis with a knack for PowerBI? Centric Consulting is hiring a Power BI Data Analyst. We love to help people succeed.,Cincinnati,OH, Ohio,Midwest
Franklin University,Data Analyst,Data Analyst,Franklin University has a full-time opening for a data analyst for the International Institute for Innovative Instruction. A master’s degree is preferred.,Columbus,OH, Ohio,Midwest
Matic,Data Analyst,Data Analyst,Excellent written/verbal communication skills and aggressive attention to detail. Buying a home is often the largest purchase a consumer will ever make and…,Columbus,OH, Ohio,Midwest
Fleet Response,Data Analyst,Business Analyst,"Strong analytical skills with the ability to collect, organize, analyze and disseminate significant amounts of information with attention to detail and accuracy…",Independence,OH, Ohio,Midwest
CAS,Data Analyst,Data Analytics Intern,"CAS uses unparalleled scientific content, specialized technology and unmatched human expertise to help R&D organizations across Commercial, Government and…",Columbus,OH, Ohio,Midwest
Haystack,Data Analyst,Business Analyst,Haystack is looking for a Business Analyst with 3 years if Quality Assurance experience for a fulltime opportunity in Columbus Ohio.,Columbus,OH, Ohio,Midwest
Amerimark Direct,Data Analyst,Business Analyst,Amerimark is a catalog and ecommerce direct marketing company. We have been in business for over 50 years and are well known for offering quality brand-name…,Cleveland,OH, Ohio,Midwest
CCL Design,Data Analyst,Sr. Business Analyst,"A global specialty packaging pioneer, CCL is the largest label company in the world and provides innovative solutions to the Home & Personal Care, Premium Food …",Strongsville,OH, Ohio,Midwest
Gem City Business Solutions,Data Analyst,Business Analyst,3 to 5 years of bookkeeping and/or junior level accounting experience. Accounting and Financial Analyst-- Gem City Business Solutions*.,Beavercreek,OH, Ohio,Midwest
"Cincom Systems, Inc.",Data Analyst,Sr. Data Analyst (with Business Intelligence Experience),"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and…",Cincinnati,OH, Ohio,Midwest
The Step2 Company,Data Analyst,Business Analyst – Sales & Product Management,"5 or more years related work experience. The Step2 Company, the largest American manufacturer of preschool and toddler toys and the world’s largest rotational…",Streetsboro,OH, Ohio,Midwest
Reynolds and Reynolds,Data Analyst,Entry Level Business Analyst,"As an Entry Level Business Analyst, you will design, test, and support Reynolds enterprise software applications. Analysis and problem solving skills.",Dayton,OH, Ohio,Midwest
Procter and Gamble,Data Analyst,Data Analyst,Do you love diving into data sets? Would you enjoy telling stories and helping others see the benefit of data based decision-making? We want you to know:,Cincinnati,OH, Ohio,Midwest
DSW,Data Analyst,Summer 2020 Internship Program - Data Science,"Is one of North America’s largest designers, producers and retailers of footwear and accessories. The company operates a portfolio of retail concepts in nearly…",Columbus,OH, Ohio,Midwest
Procter and Gamble,Data Analyst,Associate Data Analyst,"Do you love diving into data sets? Would you enjoy telling stories and helping others see the benefit of data based decision-making? Daily, you can expect to:",Cincinnati,OH, Ohio,Midwest
The J. M. Smucker Company,Data Analyst,"Intern, Information Services - Data Science","For more than 120 years, The J.M. Smucker Company has brought families together to share memorable meals and moments. Shiny, HTML, CSS, JavaScript preferred.",Akron,OH, Ohio,Midwest
Vertiv Co.,Data Scientist,Intern- Data Scientist,"Sep 24, 2019, 10:39:04 AM. Vertiv, a global leader in network power solutions, seeks a Data Scientist Intern at its Columbus, OH headquarters location.",Westerville,OH, Ohio,Midwest
CACI,Data Analyst,Data Analyst,"CACI is seeking a full-time Data Analyst to support electronic warfare studies. The job site in on Wright Patterson AFB in Dayton, Ohio. What You’ll Get to Do:",Wright-Patterson AFB,OH, Ohio,Midwest
Ameritas,Data Analyst,AIC Intern- Data Analysis and Research,Do you have a strong desire to learn and take ownership of assigned tasks? Ideal candiate enjoys relationship buidling and have strong interpersonal skills.,Cincinnati,OH, Ohio,Midwest
ProTeam Solutions Inc.,Data Analyst,Business Analyst Consultant,Business Systems Analyst - Consulting (Conversion to FTE likely). Our client is actively adding to their team.,Columbus,OH, Ohio,Midwest
DS Technologies Inc,Data Analyst,Business Analyst,"DS Technologies Inc is looking for a Business Analyst/ Data Analyst to support multiple clients. Creating a detailed business analysis, outlining problems,…",Columbus,OH, Ohio,Midwest
Interim HealthCare,Data Analyst,Business Analyst,"Detail oriented, analytical and inquisitive. Business Analyst - Salo Solutions - Full-time*. Salo Solutions is an IT consultancy and systems integrator with a…",Columbus,OH, Ohio,Midwest
Greater Cleveland Regional Transit Authority,Data Analyst,District Business Analyst,The employee may be required to work at a desk top computer for more than 5 hours a day. Of the District Business Analyst include but are not limited to:,East Cleveland,OH, Ohio,Midwest
BRAVO WELLNESS LLC,Data Analyst,Business Analyst,Minimum 1 to 3 years business analyst (product owner) experience or proven work equivalent. The Business Analyst - Product is responsible for analyzing product…,Cleveland,OH, Ohio,Midwest
UC Health,Data Analyst,Data Analyst - UC Health Victory Parkway,"Gather, organize, maintain, analyze and prepare statistical, aggregate, graphical and other reports. This information is to be used for utilization studies,…",Cincinnati,OH, Ohio,Midwest
First Transit,Data Analyst,Data Analyst,"Highly organized, deadline oriented, possess high attention to detail. The Data & Reporting Analyst position is responsible for providing strong analytical and…",Cincinnati,OH, Ohio,Midwest
Aruna IT Corp,Data Analyst,Business Analyst,The purpose of the BA is to gather data on two major projects see below: Assess current system requirements to ensure the project is meeting the needs.,Columbus,OH, Ohio,Midwest
"TACG, LLC",Data Analyst,IT Data Analyst,"5 years of experience with a Bachelor’s Degree in computer science, information systems management, mathematics, operations research, statistics, or engineering…",Wright-Patterson AFB,OH, Ohio,Midwest
The Step2 Company,Data Analyst,Business Analyst- Operations,"The Step2 Company, the largest American manufacturer of preschool and toddler toys and the world’s largest rotational molder of plastics, is looking for a…",Streetsboro,OH, Ohio,Midwest
Key Bank- Corporate,Data Analyst,Business Analyst,Strong attention to detail with ability to distill to executive level bullet points. Working with the Fraud and Enterprise Shared Services (ESS) leadership…,Brooklyn,OH, Ohio,Midwest
Lubrizol Corporation,Data Scientist,Data Scientist/ Statistican Intern (PhD Level),"Lubrizol Additives is a pioneering global supplier of chemical additives technologies including additives for engine oils, driveline applications, gasoline and…",Wickliffe,OH, Ohio,Midwest
Kforce,Data Analyst,Business Analyst,"Kforce has a client in search of a Business Analyst in Columbus, Ohio (OH). Types of analysis and reporting may include:",Columbus,OH, Ohio,Midwest
OpTech LLC,Data Analyst,Business Analyst, 5 years of experience managing requirements on several projects at the same time. The purpose of the BA is to gather data on two major projects see below:,Columbus,OH, Ohio,Midwest
T-CETRA LLC,Data Analyst,Senior Data Analyst,"As a Senior Business Analyst, you’ll work as a member of the Technology cross-functional team and improve the online and mobile experience for our customers.",Dublin,OH, Ohio,Midwest
Fast Switch,Data Analyst,Business Analyst - Accenture CAS,"Our client in Orrville, Ohio is seeking a Business Analyst with Accenture CAS experience. Business Analyst with the ability to:",Orrville,OH, Ohio,Midwest
Park Place Technologies,Data Analyst,Business Analyst,"Minimum 5 year of experience in business analysis, systems design and project management. The Business Analyst will work with key business stakeholders and be…",Mayfield Heights,OH, Ohio,Midwest
Axcess Financial,Data Analyst,"Data Analyst/Data Modeler - Based in Cincinnati, OH","We are actively seeking candidates for current and future opportunities within our Analytics Organizations. Modeling, customer lifetime value predictions, and…",Cincinnati,OH, Ohio,Midwest
